White, Blue, Green, Green, equals, Red, 1
Green, Red, White, Red, equals, White, 1
Blue, Yellow, Blue, Green, equals, Green, 1
Blue, Blue, White, Green, equals, Black, 2
White, Green, Green, Blue, equals, Blue, 2
Yellow, Red, Green, Green, equals, Yellow, 1
Green, Yellow, Blue, Yellow, equals, Red, 1
Red, Green, Green, Red, equals, White, 1
Green, Green, Red, White, equals, Green, 2
Red, White, Blue, Green, equals, Black, 2
Green, Yellow, Yellow, Yellow, equals, Blue, 1
Blue, White, Yellow, Red, equals, Yellow, 2
Red, Yellow, Green, White, equals, Red, 1
Red, Yellow, Blue, Red, equals, White, 1
White, Green, Blue, Yellow, equals, Green, 2
Red, Red, Green, Yellow, equals, Black, 1
Green, White, Green, Blue, equals, Blue, 1
Yellow, Green, White, White, equals, Yellow, 1
Green, Green, Yellow, Blue, equals, Red, 2
Yellow, White, Yellow, Yellow, equals, White, 1
Green, Green, Red, White, equals, Green, 1
White, White, Blue, Green, equals, Black, 2
Green, Yellow, Green, Blue, equals, Blue, 2
Blue, Green, Yellow, Green, equals, Yellow, 1
White, Yellow, Blue, Yellow, equals, Red, 1
Green, White, Yellow, White, equals, White, 2
Red, Yellow, White, Green, equals, Green, 1
White, Green, Red, White, equals, Black, 2
White, Green, Red, Green, equals, Blue, 2
Yellow, Green, Red, White, equals, Yellow, 2
White, White, Red, Green, equals, Red, 2
White, Yellow, Red, Blue, equals, White, 2
White, Green, Yellow, Green, equals, Green, 2
Yellow, Blue, Green, Yellow, equals, Black, 1
Yellow, Green, Green, White, equals, Blue, 2
White, Red, White, Green, equals, Yellow, 1
Yellow, Blue, Blue, Yellow, equals, Red, 1
Blue, Blue, Green, Blue, equals, White, 1
White, Red, Green, Yellow, equals, Green, 2
Red, Yellow, Green, Green, equals, Black, 1
Blue, Green, Green, Blue, equals, Blue, 2
Red, White, Yellow, Red, equals, Yellow, 1
Green, White, Red, Red, equals, Red, 1
Green, Blue, Yellow, Red, equals, White, 2
White, Blue, Red, Blue, equals, Green, 1
Green, Yellow, Blue, Green, equals, Black, 2
Yellow, White, Red, Green, equals, Blue, 1
Red, Yellow, White, Yellow, equals, Yellow, 2
White, Red, Red, White, equals, Red, 1
Blue, Blue, White, Blue, equals, White, 1
Green, Yellow, Red, Red, equals, Green, 2
Blue, Red, Green, Blue, equals, Black, 1
Blue, Yellow, Green, Blue, equals, Blue, 2
Red, Blue, Blue, Red, equals, Yellow, 2
White, Green, White, Yellow, equals, Red, 2
Green, Red, Yellow, Green, equals, White, 1
Red, White, Blue, Red, equals, Green, 2
Blue, White, White, Blue, equals, Black, 1
Yellow, White, Yellow, Red, equals, Blue, 2
Red, Green, Yellow, White, equals, Yellow, 2
Green, Yellow, Yellow, White, equals, Red, 1
Yellow, Green, Red, Yellow, equals, White, 2
Yellow, White, Red, Blue, equals, Green, 1
Yellow, Red, Yellow, Yellow, equals, Black, 1
Yellow, Blue, Green, Green, equals, Blue, 1
Yellow, Green, Yellow, White, equals, Yellow, 2
White, White, White, White, equals, Red, 2
Green, Red, Red, Blue, equals, White, 2
Red, Red, Green, Yellow, equals, Green, 2
Blue, White, Yellow, Blue, equals, Black, 1
Blue, Yellow, Red, Yellow, equals, Blue, 2
White, White, Blue, White, equals, Yellow, 1
Green, Yellow, Yellow, Green, equals, Red, 1
Yellow, Red, Green, Red, equals, White, 1
Green, Blue, Green, Green, equals, Green, 1
Blue, Green, Blue, Red, equals, Black, 2
Yellow, Yellow, White, Green, equals, Blue, 2
Green, White, White, Green, equals, Yellow, 1
Red, Blue, Blue, Green, equals, Red, 2
Red, Red, Green, White, equals, White, 1
Blue, Yellow, Red, White, equals, Green, 2
Yellow, Blue, Green, White, equals, Black, 1
Red, White, Red, Red, equals, Blue, 2
Green, Red, Red, Blue, equals, Yellow, 2
Blue, Red, Blue, Yellow, equals, Red, 1
Green, Green, Blue, Red, equals, White, 2
Green, Green, Green, Green, equals, Green, 2
Blue, Red, Yellow, Yellow, equals, Black, 1
White, Yellow, Green, White, equals, Blue, 2
Yellow, Red, Yellow, Green, equals, Yellow, 1
Red, Blue, Red, Yellow, equals, Red, 1
Yellow, Yellow, White, Blue, equals, White, 2
Red, Blue, White, Blue, equals, Green, 2
White, Blue, Green, Yellow, equals, Black, 2
Green, Red, Green, Red, equals, Blue, 2
Red, Blue, Red, Yellow, equals, Yellow, 1
Red, White, Yellow, Blue, equals, Red, 1
Yellow, Green, White, Red, equals, White, 2
Blue, Yellow, White, Blue, equals, Green, 2
Red, Yellow, Green, Green, equals, Black, 1
Red, Red, Yellow, Red, equals, Blue, 1
Red, Yellow, Blue, Green, equals, Yellow, 1
Yellow, Green, White, White, equals, Red, 1
Yellow, White, Blue, Green, equals, White, 1
Red, Yellow, Yellow, Yellow, equals, Green, 2
Blue, Blue, Yellow, Yellow, equals, Black, 2
White, Yellow, White, Blue, equals, Blue, 2
Blue, Yellow, Yellow, Red, equals, Yellow, 2
Yellow, Yellow, White, Red, equals, Red, 2
Red, Green, Yellow, White, equals, White, 1
Red, Yellow, White, Yellow, equals, Green, 2
Blue, Red, Red, Blue, equals, Black, 1
Blue, Green, Yellow, Yellow, equals, Blue, 1
Yellow, Green, Yellow, Yellow, equals, Yellow, 2
Red, White, Blue, White, equals, Red, 1
Blue, Blue, Red, Green, equals, White, 1
White, Green, Green, Green, equals, Green, 2
Red, Red, Yellow, Green, equals, Black, 2
White, White, Blue, Green, equals, Blue, 2
Green, Yellow, Red, Red, equals, Yellow, 2
White, Red, Blue, Blue, equals, Red, 1
Blue, Blue, White, Red, equals, White, 2
White, Blue, Red, Blue, equals, Green, 2
White, Red, Red, Yellow, equals, Black, 1
Green, Green, Green, Yellow, equals, Blue, 1
Red, Blue, Yellow, Blue, equals, Yellow, 2
Yellow, Red, Blue, White, equals, Red, 1
Green, Yellow, White, White, equals, White, 1
Blue, Green, Red, Yellow, equals, Green, 1
Yellow, White, Red, Green, equals, Black, 1
Yellow, Blue, Blue, Green, equals, Blue, 2
Red, Green, Blue, Red, equals, Yellow, 2
Yellow, White, Green, White, equals, Red, 2
Blue, Blue, Green, White, equals, White, 1
Green, Blue, Red, Yellow, equals, Green, 2
Blue, Yellow, Red, Red, equals, Black, 1
Red, Yellow, Yellow, White, equals, Blue, 2
Red, Red, Red, White, equals, Yellow, 2
White, White, Green, Green, equals, Red, 2
Blue, White, Red, Green, equals, White, 1
Red, White, Green, Red, equals, Green, 1
White, White, Yellow, White, equals, Black, 2
Red, Red, Yellow, Yellow, equals, Blue, 1
White, Blue, Blue, White, equals, Yellow, 1
Yellow, Green, Yellow, Red, equals, Red, 2
Red, Yellow, Green, Green, equals, White, 1
Green, Blue, Blue, Red, equals, Green, 2
Blue, Blue, Green, Red, equals, Black, 1
Yellow, Green, Yellow, Yellow, equals, Blue, 1
White, Green, Blue, Yellow, equals, Yellow, 2
Yellow, Red, Red, Blue, equals, Red, 1
Red, Green, White, Yellow, equals, White, 1
Red, White, Red, Green, equals, Green, 2
Blue, White, Blue, Green, equals, Black, 1
Blue, Red, Yellow, Green, equals, Blue, 2
Red, Yellow, White, Green, equals, Yellow, 2
Blue, Green, Red, Yellow, equals, Red, 1
Yellow, White, Yellow, Red, equals, White, 1
Yellow, Blue, Yellow, Yellow, equals, Green, 2
Blue, Red, Red, White, equals, Black, 2
Green, Red, Yellow, Red, equals, Blue, 1
Yellow, Green, Red, Yellow, equals, Yellow, 1
Green, White, Green, Red, equals, Red, 1
Blue, White, Green, White, equals, White, 2
White, Green, Blue, Green, equals, Green, 2
Red, Blue, Blue, Yellow, equals, Black, 1
White, Yellow, Green, Yellow, equals, Blue, 2
Blue, Red, Blue, Green, equals, Yellow, 2
Yellow, Blue, Red, Red, equals, Red, 1
Yellow, Yellow, Green, Green, equals, White, 1
Green, Yellow, Green, White, equals, Green, 1
Red, Green, Red, White, equals, Black, 2
Yellow, Blue, Green, Blue, equals, Blue, 2
Green, Red, Blue, Red, equals, Yellow, 1
Blue, Red, White, Yellow, equals, Red, 1
White, Green, Red, White, equals, White, 1
Red, Yellow, Green, Yellow, equals, Green, 2
Green, Red, White, Green, equals, Black, 2
Green, Blue, White, Blue, equals, Blue, 2
Red, White, Blue, White, equals, Yellow, 2
White, Red, White, White, equals, Red, 1
Red, Red, Blue, Blue, equals, White, 1
Green, Blue, Blue, Yellow, equals, Green, 1
Blue, Green, Blue, Blue, equals, Black, 1
Blue, Blue, Blue, Blue, equals, Blue, 2
Green, Red, Red, Green, equals, Yellow, 1
Blue, Green, Green, White, equals, Red, 1
Blue, White, Red, Red, equals, White, 1
White, Red, Blue, Red, equals, Green, 2
Blue, Blue, Yellow, White, equals, Black, 1
Green, Yellow, Green, Blue, equals, Blue, 1
Yellow, Red, White, Blue, equals, Yellow, 2
Red, Green, Blue, Green, equals, Red, 1
Red, Red, Green, White, equals, White, 2
White, Yellow, White, White, equals, Green, 1
White, Red, White, Yellow, equals, Black, 1
Yellow, White, Green, Blue, equals, Blue, 2
Red, Green, Blue, Blue, equals, Yellow, 2
Green, Blue, Green, Red, equals, Red, 1
Green, Green, White, Red, equals, White, 1
